all_name,dma1_name,sales1_name,sales2_name,chan1_name,max,cpp,hl,hrf,wks, beta ,curvegroup_name
overall,National,Batteries,AAP,Affliates,171647.9831,1,0.3,0.45,1,57007,weekly
overall,National,Oil,AAP,Affliates,171647.9831,1,0.3,0.45,1,5091,weekly
overall,National,Other,AAP,Affliates,171647.9831,1,0.3,0.45,1,45776,weekly
overall,National,Parts,AAP,Affliates,171647.9831,1,0.3,0.45,1,55670,weekly
overall,National,Other,AAP,Branded Search,511032,0.067313405,0.3,0.45,1,46571,weekly
overall,National,Parts,AAP,Branded Search,511032,0.067313405,0.3,0.45,1,186756,weekly
overall,National,Brakes,AAP,Terrestial Radio-NSO,10000,1,4,0.15,1,12616,weekly
overall,National,Oil,AAP,Terrestial Radio-NSO,10000,1,4,0.15,1,10531,weekly
overall,National,Parts,AAP,Terrestial Radio-NSO,10000,1,4,0.15,1,6305,weekly
overall,National,Batteries,AAP,TV-GM,111.2,16965.37004,2,0.15,1,198331,weekly
overall,National,Brakes,AAP,TV-GM,111.2,16965.37004,2,0.15,1,741519,weekly
overall,National,Oil,AAP,TV-GM,111.2,16965.37004,2,0.15,1,9965,weekly
overall,National,Other,AAP,TV-GM,111.2,16965.37004,2,0.15,1,70811,weekly
overall,National,Parts,AAP,TV-GM,111.2,16965.37004,2,0.15,1,816075,weekly
overall,National,Batteries,AAP,TV-Hispanic,200,3393.074008,2,0.15,1,59499,weekly
overall,National,Brakes,AAP,TV-Hispanic,200,3393.074008,2,0.15,1,222456,weekly
overall,National,Oil,AAP,TV-Hispanic,200,3393.074008,2,0.15,1,2990,weekly
overall,National,Other,AAP,TV-Hispanic,200,3393.074008,2,0.15,1,21243,weekly
overall,National,Parts,AAP,TV-Hispanic,200,3393.074008,2,0.15,1,244823,weekly
overall,National,Other,AAP,Direct Mail,207614.5,1,1,0.6,1,738702,weekly
overall,National,Parts,AAP,Direct Mail,207614.5,1,1,0.6,1,340449,weekly
