week_id,sales1_name,sales2_name,factor
1,Oil,AAP,6390467.77
2,Oil,AAP,6854048.79
3,Oil,AAP,6975513.98
4,Oil,AAP,7044844.05
5,Oil,AAP,7483728.45
6,Oil,AAP,7640495.62
7,Oil,AAP,6364610.46
8,Oil,AAP,7028418.62
9,Oil,AAP,7381811.85
10,Oil,AAP,8979722.17
11,Oil,AAP,9028779.54
12,Oil,AAP,8197726.17
13,Oil,AAP,9342647.6
14,Oil,AAP,8412631.58
15,Oil,AAP,8796559.26
16,Oil,AAP,8110084.76
17,Oil,AAP,8750720.44
18,Oil,AAP,8533025.01
19,Oil,AAP,7994747.38
20,Oil,AAP,8378843.52
21,Oil,AAP,8077562.22
22,Oil,AAP,8197255.67
23,Oil,AAP,8021215.3
24,Oil,AAP,7738270.95
25,Oil,AAP,7505973.28
26,Oil,AAP,8274809.2
27,Oil,AAP,7862338.25
28,Oil,AAP,7815267.79
29,Oil,AAP,7693634.98
30,Oil,AAP,7812286.2
31,Oil,AAP,8020392.15
32,Oil,AAP,7893004.54
33,Oil,AAP,7658157.48
34,Oil,AAP,7806226.78
35,Oil,AAP,7972459.6
36,Oil,AAP,7479645.16
37,Oil,AAP,7697647.69
38,Oil,AAP,7454433
39,Oil,AAP,6952399.6
40,Oil,AAP,7738082.15
41,Oil,AAP,7925431.29
42,Oil,AAP,7765530.91
43,Oil,AAP,6998674.59
44,Oil,AAP,7304078.72
45,Oil,AAP,7083337.52
46,Oil,AAP,7122988.47
47,Oil,AAP,7013785.18
48,Oil,AAP,6637608.85
49,Oil,AAP,7241420.47
50,Oil,AAP,6566250.96
51,Oil,AAP,5818672.53
52,Oil,AAP,6670858.7
1,Oil,Castrol,6390467.77
2,Oil,Castrol,6854048.79
3,Oil,Castrol,6975513.98
4,Oil,Castrol,7044844.05
5,Oil,Castrol,7483728.45
6,Oil,Castrol,7640495.62
7,Oil,Castrol,6364610.46
8,Oil,Castrol,7028418.62
9,Oil,Castrol,7381811.85
10,Oil,Castrol,8979722.17
11,Oil,Castrol,9028779.54
12,Oil,Castrol,8197726.17
13,Oil,Castrol,9342647.6
14,Oil,Castrol,8412631.58
15,Oil,Castrol,8796559.26
16,Oil,Castrol,8110084.76
17,Oil,Castrol,8750720.44
18,Oil,Castrol,8533025.01
19,Oil,Castrol,7994747.38
20,Oil,Castrol,8378843.52
21,Oil,Castrol,8077562.22
22,Oil,Castrol,8197255.67
23,Oil,Castrol,8021215.3
24,Oil,Castrol,7738270.95
25,Oil,Castrol,7505973.28
26,Oil,Castrol,8274809.2
27,Oil,Castrol,7862338.25
28,Oil,Castrol,7815267.79
29,Oil,Castrol,7693634.98
30,Oil,Castrol,7812286.2
31,Oil,Castrol,8020392.15
32,Oil,Castrol,7893004.54
33,Oil,Castrol,7658157.48
34,Oil,Castrol,7806226.78
35,Oil,Castrol,7972459.6
36,Oil,Castrol,7479645.16
37,Oil,Castrol,7697647.69
38,Oil,Castrol,7454433
39,Oil,Castrol,6952399.6
40,Oil,Castrol,7738082.15
41,Oil,Castrol,7925431.29
42,Oil,Castrol,7765530.91
43,Oil,Castrol,6998674.59
44,Oil,Castrol,7304078.72
45,Oil,Castrol,7083337.52
46,Oil,Castrol,7122988.47
47,Oil,Castrol,7013785.18
48,Oil,Castrol,6637608.85
49,Oil,Castrol,7241420.47
50,Oil,Castrol,6566250.96
51,Oil,Castrol,5818672.53
52,Oil,Castrol,6670858.7
1,Oil,Mobil,6390467.77
2,Oil,Mobil,6854048.79
3,Oil,Mobil,6975513.98
4,Oil,Mobil,7044844.05
5,Oil,Mobil,7483728.45
6,Oil,Mobil,7640495.62
7,Oil,Mobil,6364610.46
8,Oil,Mobil,7028418.62
9,Oil,Mobil,7381811.85
10,Oil,Mobil,8979722.17
11,Oil,Mobil,9028779.54
12,Oil,Mobil,8197726.17
13,Oil,Mobil,9342647.6
14,Oil,Mobil,8412631.58
15,Oil,Mobil,8796559.26
16,Oil,Mobil,8110084.76
17,Oil,Mobil,8750720.44
18,Oil,Mobil,8533025.01
19,Oil,Mobil,7994747.38
20,Oil,Mobil,8378843.52
21,Oil,Mobil,8077562.22
22,Oil,Mobil,8197255.67
23,Oil,Mobil,8021215.3
24,Oil,Mobil,7738270.95
25,Oil,Mobil,7505973.28
26,Oil,Mobil,8274809.2
27,Oil,Mobil,7862338.25
28,Oil,Mobil,7815267.79
29,Oil,Mobil,7693634.98
30,Oil,Mobil,7812286.2
31,Oil,Mobil,8020392.15
32,Oil,Mobil,7893004.54
33,Oil,Mobil,7658157.48
34,Oil,Mobil,7806226.78
35,Oil,Mobil,7972459.6
36,Oil,Mobil,7479645.16
37,Oil,Mobil,7697647.69
38,Oil,Mobil,7454433
39,Oil,Mobil,6952399.6
40,Oil,Mobil,7738082.15
41,Oil,Mobil,7925431.29
42,Oil,Mobil,7765530.91
43,Oil,Mobil,6998674.59
44,Oil,Mobil,7304078.72
45,Oil,Mobil,7083337.52
46,Oil,Mobil,7122988.47
47,Oil,Mobil,7013785.18
48,Oil,Mobil,6637608.85
49,Oil,Mobil,7241420.47
50,Oil,Mobil,6566250.96
51,Oil,Mobil,5818672.53
52,Oil,Mobil,6670858.7
1,Oil,Pennzoil,6390467.77
2,Oil,Pennzoil,6854048.79
3,Oil,Pennzoil,6975513.98
4,Oil,Pennzoil,7044844.05
5,Oil,Pennzoil,7483728.45
6,Oil,Pennzoil,7640495.62
7,Oil,Pennzoil,6364610.46
8,Oil,Pennzoil,7028418.62
9,Oil,Pennzoil,7381811.85
10,Oil,Pennzoil,8979722.17
11,Oil,Pennzoil,9028779.54
12,Oil,Pennzoil,8197726.17
13,Oil,Pennzoil,9342647.6
14,Oil,Pennzoil,8412631.58
15,Oil,Pennzoil,8796559.26
16,Oil,Pennzoil,8110084.76
17,Oil,Pennzoil,8750720.44
18,Oil,Pennzoil,8533025.01
19,Oil,Pennzoil,7994747.38
20,Oil,Pennzoil,8378843.52
21,Oil,Pennzoil,8077562.22
22,Oil,Pennzoil,8197255.67
23,Oil,Pennzoil,8021215.3
24,Oil,Pennzoil,7738270.95
25,Oil,Pennzoil,7505973.28
26,Oil,Pennzoil,8274809.2
27,Oil,Pennzoil,7862338.25
28,Oil,Pennzoil,7815267.79
29,Oil,Pennzoil,7693634.98
30,Oil,Pennzoil,7812286.2
31,Oil,Pennzoil,8020392.15
32,Oil,Pennzoil,7893004.54
33,Oil,Pennzoil,7658157.48
34,Oil,Pennzoil,7806226.78
35,Oil,Pennzoil,7972459.6
36,Oil,Pennzoil,7479645.16
37,Oil,Pennzoil,7697647.69
38,Oil,Pennzoil,7454433
39,Oil,Pennzoil,6952399.6
40,Oil,Pennzoil,7738082.15
41,Oil,Pennzoil,7925431.29
42,Oil,Pennzoil,7765530.91
43,Oil,Pennzoil,6998674.59
44,Oil,Pennzoil,7304078.72
45,Oil,Pennzoil,7083337.52
46,Oil,Pennzoil,7122988.47
47,Oil,Pennzoil,7013785.18
48,Oil,Pennzoil,6637608.85
49,Oil,Pennzoil,7241420.47
50,Oil,Pennzoil,6566250.96
51,Oil,Pennzoil,5818672.53
52,Oil,Pennzoil,6670858.7
1,Oil,Valvoline,6390467.77
2,Oil,Valvoline,6854048.79
3,Oil,Valvoline,6975513.98
4,Oil,Valvoline,7044844.05
5,Oil,Valvoline,7483728.45
6,Oil,Valvoline,7640495.62
7,Oil,Valvoline,6364610.46
8,Oil,Valvoline,7028418.62
9,Oil,Valvoline,7381811.85
10,Oil,Valvoline,8979722.17
11,Oil,Valvoline,9028779.54
12,Oil,Valvoline,8197726.17
13,Oil,Valvoline,9342647.6
14,Oil,Valvoline,8412631.58
15,Oil,Valvoline,8796559.26
16,Oil,Valvoline,8110084.76
17,Oil,Valvoline,8750720.44
18,Oil,Valvoline,8533025.01
19,Oil,Valvoline,7994747.38
20,Oil,Valvoline,8378843.52
21,Oil,Valvoline,8077562.22
22,Oil,Valvoline,8197255.67
23,Oil,Valvoline,8021215.3
24,Oil,Valvoline,7738270.95
25,Oil,Valvoline,7505973.28
26,Oil,Valvoline,8274809.2
27,Oil,Valvoline,7862338.25
28,Oil,Valvoline,7815267.79
29,Oil,Valvoline,7693634.98
30,Oil,Valvoline,7812286.2
31,Oil,Valvoline,8020392.15
32,Oil,Valvoline,7893004.54
33,Oil,Valvoline,7658157.48
34,Oil,Valvoline,7806226.78
35,Oil,Valvoline,7972459.6
36,Oil,Valvoline,7479645.16
37,Oil,Valvoline,7697647.69
38,Oil,Valvoline,7454433
39,Oil,Valvoline,6952399.6
40,Oil,Valvoline,7738082.15
41,Oil,Valvoline,7925431.29
42,Oil,Valvoline,7765530.91
43,Oil,Valvoline,6998674.59
44,Oil,Valvoline,7304078.72
45,Oil,Valvoline,7083337.52
46,Oil,Valvoline,7122988.47
47,Oil,Valvoline,7013785.18
48,Oil,Valvoline,6637608.85
49,Oil,Valvoline,7241420.47
50,Oil,Valvoline,6566250.96
51,Oil,Valvoline,5818672.53
52,Oil,Valvoline,6670858.7
1,Batteries,AAP,17176055.07
