"chan1_id","dma1_id","chan1_name","dma1_name","bdgt_id","cps"
359,146,"Affliates","National","359_146",""
360,146,"Branded Search","National","360_146",""
423,146,"Castrol Oil - Direct Mail","National","423_146",""
424,146,"Castrol Oil - Display","National","424_146",""
425,146,"Castrol Oil - Radio","National","425_146",""
426,146,"Castrol Oil - Search","National","426_146",""
353,146,"DM","National","353_146",""
413,146,"Display - Batteries","National","413_146",""
414,146,"Display - Oil","National","414_146",""
439,146,"Display - Other","National","439_146",""
410,146,"Email","National","410_146",""
361,146,"Generic Search - Batteries","National","361_146",""
362,146,"Generic Search - Brakes","National","362_146",""
364,146,"Generic Search - Other","National","364_146",""
441,146,"Generic Search - Parts","National","441_146",""
247,564,"Local Radio","Local","247_564",""
427,146,"Mobil Oil - Direct Mail","National","427_146",""
428,146,"Mobil Oil - Display","National","428_146",""
429,146,"Mobil Oil - Radio","National","429_146",""
430,146,"Mobil Oil - Search","National","430_146",""
6,146,"OOH","National","6_146",""
431,146,"Pennzoil Oil - Direct Mail","National","431_146",""
432,146,"Pennzoil Oil - Display","National","432_146",""
433,146,"Pennzoil Oil - Radio","National","433_146",""
434,146,"Pennzoil Oil - Search","National","434_146",""
416,146,"Radio - BOPUS","National","416_146",""
415,146,"Radio - Batteries","National","415_146",""
420,146,"Radio - Brakes","National","420_146",""
421,146,"Radio - Oil","National","421_146",""
440,146,"Radio - Parts","National","440_146",""
289,146,"Social","National","289_146",""
422,146,"Streaming Audio","National","422_146",""
419,146,"TV - GM","National","419_146",""
417,146,"Terrestial Radio-NSO","National","417_146",""
418,146,"Terrestial Radio-Speed Perk","National","418_146",""
435,146,"Valvoline Oil - Direct Mail","National","435_146",""
436,146,"Valvoline Oil - Display","National","436_146",""
437,146,"Valvoline Oil - Radio","National","437_146",""
438,146,"Valvoline Oil - Search","National","438_146",""
366,146,"Youtube","National","366_146",""
