"chan1_id","sales2_id","sales1_id","dma1_id"
"Affliates","AAP","Batteries","National"
"Affliates","AAP","Oil","National"
"Affliates","AAP","Other","National"
"Affliates","AAP","Parts","National"
"Branded Search","AAP","Other","National"
"Branded Search","AAP","Parts","National"
"Castrol Oil - Direct Mail","Castrol","Oil","National"
"Castrol Oil - Display","Castrol","Oil","National"
"Castrol Oil - Radio","Castrol","Oil","National"
"Castrol Oil - Search","Castrol","Oil","National"
"Castrol Oil - Social","Castrol","Oil","National"
"Digital Radio-Speed Perk","AAP","Batteries","ALBUQUERQUE/SANTA FE-NM"
"Digital Radio-Speed Perk","AAP","Batteries","ATLANTA-GA"
"Digital Radio-Speed Perk","AAP","Batteries","AUSTIN-TX"
"Digital Radio-Speed Perk","AAP","Batteries","BALTIMORE-MD"
"Digital Radio-Speed Perk","AAP","Batteries","BIRMINGHAM-AL"
"Digital Radio-Speed Perk","AAP","Batteries","BOSTON-MA"
"Digital Radio-Speed Perk","AAP","Batteries","CHARLOTTE-NC"
"Digital Radio-Speed Perk","AAP","Batteries","CHICAGO-IL"
"Digital Radio-Speed Perk","AAP","Batteries","DALLAS-TX"
"Digital Radio-Speed Perk","AAP","Batteries","DENVER-CO"
"Digital Radio-Speed Perk","AAP","Batteries","DETROIT-MI"
"Digital Radio-Speed Perk","AAP","Batteries","HARRISBURG/LANCASTER-PA"
"Digital Radio-Speed Perk","AAP","Batteries","HOUSTON-TX"
"Digital Radio-Speed Perk","AAP","Batteries","INDIANAPOLIS-IN"
"Digital Radio-Speed Perk","AAP","Batteries","MIAMI/FT. LAUDERDALE-FL"
"Digital Radio-Speed Perk","AAP","Batteries","MILWAUKEE-WI"
"Digital Radio-Speed Perk","AAP","Batteries","NEW HAVEN/HARTFORD-CT"
"Digital Radio-Speed Perk","AAP","Batteries","National"
"Digital Radio-Speed Perk","AAP","Batteries","ORLANDO/DAYTONA/MELBOURNE-FL"
"Digital Radio-Speed Perk","AAP","Batteries","PHILADELPHIA-PA"
"Digital Radio-Speed Perk","AAP","Batteries","PITTSBURGH-PA"
"Digital Radio-Speed Perk","AAP","Batteries","PORTLAND-OR"
"Digital Radio-Speed Perk","AAP","Batteries","RALEIGH-NC"
"Digital Radio-Speed Perk","AAP","Batteries","SALT LAKE CITY-UT"
"Digital Radio-Speed Perk","AAP","Batteries","SAN ANTONIO-TX"
"Digital Radio-Speed Perk","AAP","Batteries","SEATTLE-WA"
"Digital Radio-Speed Perk","AAP","Batteries","ST. LOUIS-MO"
"Digital Radio-Speed Perk","AAP","Batteries","TAMPA/ST. PETE/LAKELAND-FL"
"Digital Radio-Speed Perk","AAP","Batteries","TRI-STATE-NY/NJ/CT"
"Digital Radio-Speed Perk","AAP","Batteries","WASHINGTON D.C."
"Digital Radio-Speed Perk","AAP","Brakes","ALBUQUERQUE/SANTA FE-NM"
"Digital Radio-Speed Perk","AAP","Brakes","ATLANTA-GA"
"Digital Radio-Speed Perk","AAP","Brakes","AUSTIN-TX"
"Digital Radio-Speed Perk","AAP","Brakes","BALTIMORE-MD"
"Digital Radio-Speed Perk","AAP","Brakes","BIRMINGHAM-AL"
"Digital Radio-Speed Perk","AAP","Brakes","BOSTON-MA"
"Digital Radio-Speed Perk","AAP","Brakes","CHARLOTTE-NC"
"Digital Radio-Speed Perk","AAP","Brakes","CHICAGO-IL"
"Digital Radio-Speed Perk","AAP","Brakes","DALLAS-TX"
"Digital Radio-Speed Perk","AAP","Brakes","DENVER-CO"
"Digital Radio-Speed Perk","AAP","Brakes","DETROIT-MI"
"Digital Radio-Speed Perk","AAP","Brakes","HARRISBURG/LANCASTER-PA"
"Digital Radio-Speed Perk","AAP","Brakes","HOUSTON-TX"
"Digital Radio-Speed Perk","AAP","Brakes","INDIANAPOLIS-IN"
"Digital Radio-Speed Perk","AAP","Brakes","MIAMI/FT. LAUDERDALE-FL"
"Digital Radio-Speed Perk","AAP","Brakes","MILWAUKEE-WI"
"Digital Radio-Speed Perk","AAP","Brakes","NEW HAVEN/HARTFORD-CT"
"Digital Radio-Speed Perk","AAP","Brakes","National"
"Digital Radio-Speed Perk","AAP","Brakes","ORLANDO/DAYTONA/MELBOURNE-FL"
"Digital Radio-Speed Perk","AAP","Brakes","PHILADELPHIA-PA"
"Digital Radio-Speed Perk","AAP","Brakes","PITTSBURGH-PA"
"Digital Radio-Speed Perk","AAP","Brakes","PORTLAND-OR"
"Digital Radio-Speed Perk","AAP","Brakes","RALEIGH-NC"
"Digital Radio-Speed Perk","AAP","Brakes","SALT LAKE CITY-UT"
"Digital Radio-Speed Perk","AAP","Brakes","SAN ANTONIO-TX"
"Digital Radio-Speed Perk","AAP","Brakes","SEATTLE-WA"
"Digital Radio-Speed Perk","AAP","Brakes","ST. LOUIS-MO"
"Digital Radio-Speed Perk","AAP","Brakes","TAMPA/ST. PETE/LAKELAND-FL"
"Digital Radio-Speed Perk","AAP","Brakes","TRI-STATE-NY/NJ/CT"
"Digital Radio-Speed Perk","AAP","Brakes","WASHINGTON D.C."
"Digital Radio-Speed Perk","AAP","Other","ALBUQUERQUE/SANTA FE-NM"
"Digital Radio-Speed Perk","AAP","Other","ATLANTA-GA"
"Digital Radio-Speed Perk","AAP","Other","AUSTIN-TX"
"Digital Radio-Speed Perk","AAP","Other","BALTIMORE-MD"
"Digital Radio-Speed Perk","AAP","Other","BIRMINGHAM-AL"
"Digital Radio-Speed Perk","AAP","Other","BOSTON-MA"
"Digital Radio-Speed Perk","AAP","Other","CHARLOTTE-NC"
"Digital Radio-Speed Perk","AAP","Other","CHICAGO-IL"
"Digital Radio-Speed Perk","AAP","Other","DALLAS-TX"
"Digital Radio-Speed Perk","AAP","Other","DENVER-CO"
"Digital Radio-Speed Perk","AAP","Other","DETROIT-MI"
"Digital Radio-Speed Perk","AAP","Other","HARRISBURG/LANCASTER-PA"
"Digital Radio-Speed Perk","AAP","Other","HOUSTON-TX"
"Digital Radio-Speed Perk","AAP","Other","INDIANAPOLIS-IN"
"Digital Radio-Speed Perk","AAP","Other","MIAMI/FT. LAUDERDALE-FL"
